,user,repo,star,link
0,bitwarden,server,13200.0,https://github.com/bitwarden/server
1,dotnet,AspNetCore.Docs,11900.0,https://github.com/dotnet/AspNetCore.Docs
2,aspnetboilerplate,aspnetboilerplate,11300.0,https://github.com/aspnetboilerplate/aspnetboilerplate
3,abpframework,abp,10500.0,https://github.com/abpframework/abp
4,nopSolutions,nopCommerce,8400.0,https://github.com/nopSolutions/nopCommerce
5,ElectronNET,Electron.NET,6900.0,https://github.com/ElectronNET/Electron.NET
6,thangchung,clean-code-dotnet,6400.0,https://github.com/thangchung/clean-code-dotnet
7,RicoSuter,NSwag,6100.0,https://github.com/RicoSuter/NSwag
8,FastEndpoints,FastEndpoints,3200.0,https://github.com/FastEndpoints/FastEndpoints
9,dotnet,aspnet-api-versioning,2800.0,https://github.com/dotnet/aspnet-api-versioning
10,smartstore,SmartStoreNET,2600.0,https://github.com/smartstore/SmartStoreNET
11,JimBobSquarePants,ImageProcessor,2500.0,https://github.com/JimBobSquarePants/ImageProcessor
12,serenity-is,Serenity,2500.0,https://github.com/serenity-is/Serenity
13,mjebrahimi,Awesome-Microservices-DotNet,2400.0,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
14,loic-sharma,BaGet,2400.0,https://github.com/loic-sharma/BaGet
15,TrilonIO,aspnetcore-angular-universal,1500.0,https://github.com/TrilonIO/aspnetcore-angular-universal
16,TrilonIO,aspnetcore-Vue-starter,1200.0,https://github.com/TrilonIO/aspnetcore-Vue-starter
17,MarimerLLC,csla,1100.0,https://github.com/MarimerLLC/csla
18,smartstore,Smartstore,,https://github.com/smartstore/Smartstore
19,antonioCoco,SharPyShell,,https://github.com/antonioCoco/SharPyShell
