,user,repo,star,link
0,ovity,octotree,22500.0,https://github.com/ovity/octotree
1,gitpod-io,gitpod,11500.0,https://github.com/gitpod-io/gitpod
2,reviewdog,reviewdog,6700.0,https://github.com/reviewdog/reviewdog
3,danger,danger,5200.0,https://github.com/danger/danger
4,danger,danger-js,5000.0,https://github.com/danger/danger-js
5,joho,awesome-code-review,4000.0,https://github.com/joho/awesome-code-review
6,ajinabraham,nodejsscan,2200.0,https://github.com/ajinabraham/nodejsscan
7,Codium-ai,pr-agent,2200.0,https://github.com/Codium-ai/pr-agent
8,microsoft,vscode-pull-request-github,2100.0,https://github.com/microsoft/vscode-pull-request-github
9,houndci,hound,1900.0,https://github.com/houndci/hound
10,mbj,mutant,1900.0,https://github.com/mbj/mutant
11,crev-dev,cargo-crev,1900.0,https://github.com/crev-dev/cargo-crev
12,reviewboard,reviewboard,1500.0,https://github.com/reviewboard/reviewboard
13,Tencent,CodeAnalysis,1500.0,https://github.com/Tencent/CodeAnalysis
14,ryanmcdermott,code-review-tips,1400.0,https://github.com/ryanmcdermott/code-review-tips
15,bit4woo,python_sec,1200.0,https://github.com/bit4woo/python_sec
16,code-review-checklists,java-concurrency,1200.0,https://github.com/code-review-checklists/java-concurrency
17,TeamCodeStream,codestream,,https://github.com/TeamCodeStream/codestream
18,coderabbitai,ai-pr-reviewer,,https://github.com/coderabbitai/ai-pr-reviewer
19,jiangsir404,Audit-Learning,,https://github.com/jiangsir404/Audit-Learning
