,user,repo,star,link
0,laravel,laravel,74800,https://github.com/laravel/laravel
1,LeCoupa,awesome-cheatsheets,34600,https://github.com/LeCoupa/awesome-cheatsheets
2,laravel,framework,30300,https://github.com/laravel/framework
3,ziadoz,awesome-php,29200,https://github.com/ziadoz/awesome-php
4,symfony,symfony,28700,https://github.com/symfony/symfony
5,composer,composer,27900,https://github.com/composer/composer
6,nextcloud,server,23800,https://github.com/nextcloud/server
7,guzzle,guzzle,22700,https://github.com/guzzle/guzzle
8,DesignPatternsPHP,DesignPatternsPHP,21400,https://github.com/DesignPatternsPHP/DesignPatternsPHP
9,Seldaek,monolog,20500,https://github.com/Seldaek/monolog
10,PHPMailer,PHPMailer,19900,https://github.com/PHPMailer/PHPMailer
11,monicahq,monica,19600,https://github.com/monicahq/monica
12,sebastianbergmann,phpunit,19300,https://github.com/sebastianbergmann/phpunit
13,bcit-ci,CodeIgniter,18200,https://github.com/bcit-ci/CodeIgniter
14,matomo-org,matomo,18200,https://github.com/matomo-org/matomo
15,swoole,swoole-src,18000,https://github.com/swoole/swoole-src
16,facebook,hhvm,17800,https://github.com/facebook/hhvm
17,nikic,PHP-Parser,16300,https://github.com/nikic/PHP-Parser
18,antlr,antlr4,15300,https://github.com/antlr/antlr4
19,erusev,parsedown,14500,https://github.com/erusev/parsedown
